Leaf_DEGs	Root_DEGs	Tuber_DEGs	Stolon_DEGs
SYN_CORE_001	SYN_CORE_001	SYN_CORE_001	SYN_CORE_001
SYN_CORE_002	SYN_CORE_002	SYN_CORE_002	SYN_CORE_002
SYN_CORE_003	SYN_CORE_003	SYN_CORE_003	SYN_CORE_003
SYN_CORE_004	SYN_CORE_004	SYN_CORE_004	SYN_CORE_004
SYN_CORE_005	SYN_CORE_005	SYN_CORE_005	SYN_CORE_005
SYN_CORE_006	SYN_CORE_006	SYN_CORE_006	SYN_CORE_006
SYN_ABC_001	SYN_ABC_001	SYN_ABC_001	SYN_ABD_001
SYN_ABC_002	SYN_ABC_002	SYN_ABC_002	SYN_ABD_002
SYN_ABC_003	SYN_ABC_003	SYN_ABC_003	SYN_ABD_003
SYN_ABD_001	SYN_ABD_001	SYN_ACD_001	SYN_ACD_001
SYN_ABD_002	SYN_ABD_002	SYN_ACD_002	SYN_ACD_002
SYN_ABD_003	SYN_ABD_003	SYN_ACD_003	SYN_ACD_003
SYN_ACD_001	SYN_BCD_001	SYN_BCD_001	SYN_BCD_001
SYN_ACD_002	SYN_BCD_002	SYN_BCD_002	SYN_BCD_002
SYN_ACD_003	SYN_BCD_003	SYN_BCD_003	SYN_BCD_003
SYN_AB_001	SYN_AB_001	SYN_AC_001	SYN_AD_001
SYN_AB_002	SYN_AB_002	SYN_AC_002	SYN_AD_002
SYN_AB_003	SYN_AB_003	SYN_AC_003	SYN_AD_003
SYN_AB_004	SYN_AB_004	SYN_AC_004	SYN_AD_004
SYN_AC_001	SYN_BC_001	SYN_BC_001	SYN_BD_001
SYN_AC_002	SYN_BC_002	SYN_BC_002	SYN_BD_002
SYN_AC_003	SYN_BC_003	SYN_BC_003	SYN_BD_003
SYN_AC_004	SYN_BC_004	SYN_BC_004	SYN_BD_004
SYN_AD_001	SYN_BD_001	SYN_CD_001	SYN_CD_001
SYN_AD_002	SYN_BD_002	SYN_CD_002	SYN_CD_002
SYN_AD_003	SYN_BD_003	SYN_CD_003	SYN_CD_003
SYN_AD_004	SYN_BD_004	SYN_CD_004	SYN_CD_004
SYN_A_001	SYN_B_001	SYN_C_001	SYN_D_001
SYN_A_002	SYN_B_002	SYN_C_002	SYN_D_002
SYN_A_003	SYN_B_003	SYN_C_003	SYN_D_003
SYN_A_004	SYN_B_004	SYN_C_004	SYN_D_004
SYN_A_005	SYN_B_005	SYN_C_005	SYN_D_005
SYN_A_006	SYN_B_006	SYN_C_006	SYN_D_006
SYN_A_007	SYN_B_007	SYN_C_007	SYN_D_007
SYN_A_008	SYN_B_008	SYN_C_008	SYN_D_008
