Gene	MappedGene	Source
Soltu.DM.01G000010	DM8.2_chr01G00010	synteny
Soltu.DM.01G000020	DM8.2_chr01G00020	synteny
Soltu.DM.01G000030	DM8.2_chr01G00030	synteny
Soltu.DM.01G000040	DM8.2_chr01G00040	synteny
Soltu.DM.01G000050	DM8.2_chr01G00060	synteny
Soltu.DM.01G000060	DM8.2_chr01G00070	synteny
Soltu.DM.01G000070	DM8.2_chr01G00080	synteny
Soltu.DM.01G000090	DM8.2_chr01G00110	synteny
Soltu.DM.01G000100	DM8.2_chr01G00120	synteny
Soltu.DM.01G000110	DM8.2_chr01G00130	synteny
Soltu.DM.01G000120	DM8.2_chr01G00140	synteny
Soltu.DM.01G000130	DM8.2_chr01G00150	synteny
Soltu.DM.01G000140	DM8.2_chr01G00160	synteny
Soltu.DM.01G000150	DM8.2_chr01G00170	synteny
Soltu.DM.01G000160	DM8.2_chr01G00180	synteny
Soltu.DM.01G000170	DM8.2_chr01G00190	synteny
Soltu.DM.01G000190	-	-
Soltu.DM.01G000200	DM8.2_chr01G00220	synteny
Soltu.DM.01G000210	-	-
Soltu.DM.01G000220	DM8.2_chr01G00230	synteny
Soltu.DM.01G000230	DM8.2_chr01G00240	synteny
Soltu.DM.01G000240	DM8.2_chr01G00250	synteny
Soltu.DM.01G000250	DM8.2_chr01G00260	synteny
Soltu.DM.01G000260	DM8.2_chr01G00280	synteny
Soltu.DM.01G000270	DM8.2_chr01G00290	synteny
Soltu.DM.01G000280	DM8.2_chr01G00300	synteny
Soltu.DM.01G000290	DM8.2_chr01G00310	synteny
Soltu.DM.01G000300	DM8.2_chr01G00320	synteny
Soltu.DM.01G000310	DM8.2_chr01G00330	synteny
Soltu.DM.01G000320	-	-
Soltu.DM.01G000330	DM8.2_chr01G00350	synteny
Soltu.DM.01G000340	DM8.2_chr01G00360	synteny
Soltu.DM.01G000350	DM8.2_chr01G00370	synteny
Soltu.DM.01G000360	DM8.2_chr01G00380	synteny
Soltu.DM.01G000370	DM8.2_chr01G00410	synteny
Soltu.DM.01G000380	-	-
Soltu.DM.01G000390	-	-
Soltu.DM.01G000400	-	-
Soltu.DM.01G000410	DM8.2_chr01G00420	synteny
Soltu.DM.01G000420	-	-
Soltu.DM.01G000430	-	-
Soltu.DM.01G000440	DM8.2_chr01G00480	synteny
Soltu.DM.01G000450	-	-
Soltu.DM.01G000460	-	-
Soltu.DM.01G000470	-	-
Soltu.DM.01G000480	-	-
Soltu.DM.01G000490	DM8.2_chr01G00490	synteny
Soltu.DM.01G000500	DM8.2_chr01G00500	synteny
Soltu.DM.01G000510	DM8.2_chr01G00520	synteny
Soltu.DM.01G000520	DM8.2_chr01G00530	synteny
Soltu.DM.01G000530	DM8.2_chr01G00540	synteny
Soltu.DM.01G000540	DM8.2_chr01G00550	synteny
Soltu.DM.01G000550	-	-
Soltu.DM.01G000560	-	-
Soltu.DM.01G000570	-	-
Soltu.DM.01G000580	DM8.2_chr01G00600	synteny
Soltu.DM.01G000590	-	-
Soltu.DM.01G000600	DM8.2_chr01G00610	synteny
Soltu.DM.01G000610	-	-
Soltu.DM.01G000630	-	-
Soltu.DM.01G000640	-	-
Soltu.DM.01G000650	-	-
Soltu.DM.01G000660	DM8.2_chr01G00660	synteny
Soltu.DM.01G000670	DM8.2_chr01G00670	synteny
Soltu.DM.01G000680	DM8.2_chr01G00680	synteny
Soltu.DM.01G000690	DM8.2_chr01G00690	synteny
Soltu.DM.01G000700	-	-
Soltu.DM.01G000710	DM8.2_chr01G00700	synteny
Soltu.DM.01G000720	-	-
Soltu.DM.01G000730	DM8.2_chr01G00730	synteny
Soltu.DM.01G000740	DM8.2_chr01G00740	synteny
Soltu.DM.01G000750	DM8.2_chr01G00750	synteny
Soltu.DM.01G000760	DM8.2_chr01G00760	synteny
Soltu.DM.01G000770	DM8.2_chr01G00770	synteny
Soltu.DM.01G000780	DM8.2_chr01G00780	synteny
Soltu.DM.01G000790	DM8.2_chr01G00790	synteny
Soltu.DM.01G000800	DM8.2_chr01G00810	synteny
Soltu.DM.01G000810	-	-
Soltu.DM.01G000820	DM8.2_chr01G00820	synteny
Soltu.DM.01G000830	DM8.2_chr01G00840	synteny
Soltu.DM.01G000840	-	-
Soltu.DM.01G000850	-	-
Soltu.DM.01G000860	DM8.2_chr01G00850	synteny
Soltu.DM.01G000870	DM8.2_chr01G00860	synteny
Soltu.DM.01G000880	DM8.2_chr01G00870	synteny
